City,State,Population
Irving,Texas,239798
El Paso,Texas,681728
Henderson,Nevada,320189
Boise,Idaho,228959
Virginia Beach,Virginia,449974
Detroit,Michigan,670031
St Louis,Missouri,300576
Memphis,Tennessee,651073
Baltimore,Mayland,593490
Cleveland,Ohio,381009
Plano,Texas,287677
Scottsdale,Arizona,258069
Lincoln,Nebraska,289102
Laredo,Texas,262491
Irvine,California,287401
Kansas City,Missouri,495327
Milwaukee,Wisconsin ,590157
Stockton,California,312697
Oakland,California,433031
Chicago,Illinois,2693976
