City,Population,Total_Law,Total_Officers,Total_Civilians
Irving,245423,525,364,161
El Paso,686793,1412,1171,241
Henderson,320189,391,391,0
Boise,231214,385,298,87
Virginia Beach,449038,938,760,178
Detroit,663502,3126,2517,609
St Louis,300521,1609,1201,408
Memphis,650410,2635,2058,577
Baltimore,597239,2940,2465,475
Cleveland,381829,1785,1560,225
Plano,291611,585,403,182
Scottsdale,260464,616,385,231
Lincoln,291128,480,344,136
Laredo,264916,576,498,78
Irvine,292673,325,224,101
Kansas City,495964,1819,1299,520
Milwaukee,590923,2265,1850,415
Stockton,313604,664,459,205
Oakland,434036,1023,740,283
Chicago,2707064,14015,13160,855
